max_rate,Sample_ID,village,Agar,1,2,3,4,5,6,7,8,9,10
0.241388459,C030_1,Village C,BD,0.3,0.35,0.44,0.53,0.6,0.7,1.28,1.01,0.95,1.13
0.217115336,C030_2,Village C,BD,0.64,0.69,0.9,1.18,1.27,1.72,2.01,2.03,2.22,1.93
0.231114595,C030_3,Village C,BD,0.84,0.93,1.17,1.55,1.88,2.33,2.67,2.89,3.16,2.61
0.225693383,C030_4,Village C,BD,1.09,1.29,1.64,2.08,2.49,3.26,4,4.11,4.36,4.44
0.241964204,C030_5,Village C,BD,0.96,1.09,1.36,1.74,2.19,2.88,3.32,3.29,3.75,2.87
0.223122875,C030_6,Village C,BD,0.73,0.79,0.99,1.27,1.55,1.91,2.44,2.36,2.63,2.5
0.216094571,C030_7,Village C,BD,0.44,0.54,0.66,0.82,0.93,1.43,1.56,1.9,1.79,1.45
0.214414509,C030_8,Village C,BD,0.58,0.67,0.81,1.14,1.17,1.68,1.93,1.97,2.05,1.86
0.1962363,C032_1,Village C,BD,0.27,0.35,0.42,0.52,0.57,0.62,1.04,0.95,0.94,0.99
0.216731287,C032_2,Village C,BD,0.67,0.71,0.9,1.22,1.3,1.77,2.13,2.06,2.37,2.11
0.237509391,C032_3,Village C,BD,0.95,1.05,1.33,1.72,2.1,2.74,3.13,3.09,3.64,2.65
0.226498312,C032_4,Village C,BD,1.09,1.28,1.61,2.08,2.48,3.22,3.98,4.04,4.33,4.09
0.246674126,C032_5,Village C,BD,0.33,0.35,0.45,0.53,0.61,0.76,1.29,1.02,0.97,1.13
0.241976735,C033_1,Village C,BD,1.01,1.14,1.48,1.95,2.34,3.04,3.67,3.55,4.12,3.75
0.238969412,C033_2,Village C,BD,0.34,0.36,0.48,0.57,0.61,0.81,1.33,1.09,1.09,1.15
0.244938971,C033_3,Village C,BD,0.98,1.1,1.41,1.82,2.24,2.97,3.41,3.36,3.87,3.36
0.225377974,C033_4,Village C,BD,0.68,0.71,0.91,1.22,1.33,1.82,2.23,2.07,2.46,2.18
0.248130302,C033_5,Village C,BD,0.85,0.96,1.19,1.58,1.97,2.58,2.88,3,3.44,2.65
0.232787755,C033_6,Village C,BD,0.39,0.45,0.55,0.66,0.79,1.07,1.49,1.62,1.34,1.3
