DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,genome counts
COLOR,#808080
metawrap_0_100_bins_UM20_bin.18,1
metawrap_0_100_bins_UM20_bin.19,3
metawrap_0_100_bins_UM20_bin.2,1
metawrap_0_100_bins_UM20_bin.24,7
metawrap_0_100_bins_UM20_bin.3,1
metawrap_0_100_bins_UM20_bin.30,2
metawrap_0_100_bins_UM20_bin.34,2
metawrap_0_100_bins_UM20_bin.35,1
metawrap_0_100_bins_UM20_bin.36,1
metawrap_0_100_bins_UM20_bin.38,1
metawrap_0_100_bins_UM20_bin.40,1
metawrap_0_100_bins_UM20_bin.41,1
metawrap_0_100_bins_UM20_bin.42,1
metawrap_0_100_bins_UM20_bin.45,1
metawrap_0_100_bins_UM20_bin.46,1
metawrap_0_100_bins_UM20_bin.53,2
metawrap_0_100_bins_UM20_bin.59,8
metawrap_0_100_bins_UM20_bin.6,2
metawrap_0_100_bins_UM20_bin.60,1
metawrap_0_100_bins_UM20_bin.68,4
metawrap_0_100_bins_UM20_bin.7,6
metawrap_0_100_bins_UM20_bin.73,1
metawrap_0_100_bins_UM20_bin.76,1
metawrap_0_100_bins_UM20_bin.81,1
metawrap_0_100_bins_UM21_bin.1,13
metawrap_0_100_bins_UM21_bin.20,1
metawrap_0_100_bins_UM21_bin.3,2
metawrap_0_100_bins_UM21_bin.33,1
metawrap_0_100_bins_UM22_bin.13,1
metawrap_0_100_bins_UM22_bin.15,2
metawrap_0_100_bins_UM22_bin.24,1
metawrap_0_100_bins_UM23_bin.36,1
