DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,genome counts
COLOR,#808080
metawrap_0_100_bins_D32_bin.26,1
metawrap_0_100_bins_D32_bin.27,1
metawrap_0_100_bins_D32_bin.29,1
metawrap_0_100_bins_D32_bin.34,1
metawrap_0_100_bins_D32_bin.37,4
metawrap_0_100_bins_D32_bin.4,1
metawrap_0_100_bins_D32_bin.40,1
metawrap_0_100_bins_D32_bin.52,1
metawrap_0_100_bins_D32_bin.59,1
metawrap_0_100_bins_D32_bin.6,1
metawrap_0_100_bins_D32_bin.60,1
metawrap_0_100_bins_D32_bin.62,1
metawrap_0_100_bins_D32_bin.75,4
metawrap_0_100_bins_D32_bin.76,2
metawrap_0_100_bins_D32_bin.77,1
metawrap_0_100_bins_D32_bin.79,15
metawrap_0_100_bins_D32_bin.80,1
metawrap_0_100_bins_D32_bin.81,2
metawrap_0_100_bins_D32_bin.86,6
metawrap_0_100_bins_D32_bin.96,1
metawrap_0_100_bins_D32_bin.98,1
metawrap_0_100_bins_D33_bin.2,1
metawrap_0_100_bins_D33_bin.22,2
metawrap_0_100_bins_D33_bin.27,1
metawrap_0_100_bins_D33_bin.30,1
metawrap_0_100_bins_D33_bin.31,1
metawrap_0_100_bins_D33_bin.33,1
metawrap_0_100_bins_D33_bin.35,1
metawrap_0_100_bins_D33_bin.36,2
metawrap_0_100_bins_D33_bin.43,2
metawrap_0_100_bins_D33_bin.63,1
metawrap_0_100_bins_D33_bin.67,1
metawrap_0_100_bins_D33_bin.74,1
metawrap_0_100_bins_D34_bin.25,1
metawrap_0_100_bins_D34_bin.33,1
metawrap_0_100_bins_D34_bin.8,6
metawrap_0_100_bins_D35_bin.1,1
metawrap_0_100_bins_D35_bin.10,1
metawrap_0_100_bins_D35_bin.16,5
metawrap_0_100_bins_D35_bin.20,1
metawrap_0_100_bins_D35_bin.25,4
metawrap_0_100_bins_D35_bin.26,1
metawrap_0_100_bins_D35_bin.29,2
metawrap_0_100_bins_D35_bin.37,1
metawrap_0_100_bins_D35_bin.38,1
metawrap_0_100_bins_D35_bin.39,2
metawrap_0_100_bins_D35_bin.4,2
metawrap_0_100_bins_D35_bin.43,1
metawrap_0_100_bins_D35_bin.48,1
metawrap_0_100_bins_D35_bin.49,1
metawrap_0_100_bins_D35_bin.52,2
metawrap_0_100_bins_D35_bin.64,1
metawrap_0_100_bins_D35_bin.67,5
metawrap_0_100_bins_D35_bin.75,1
metawrap_0_100_bins_D35_bin.76,1
metawrap_0_100_bins_D35_bin.78,1
metawrap_0_100_bins_D35_bin.91,1
metawrap_0_100_bins_D35_bin.93,2
metawrap_0_100_bins_D36_bin.12,2
metawrap_0_100_bins_D36_bin.13,4
metawrap_0_100_bins_D36_bin.2,1
metawrap_0_100_bins_D36_bin.26,1
metawrap_0_100_bins_D36_bin.27,2
metawrap_0_100_bins_D36_bin.28,2
metawrap_0_100_bins_D36_bin.30,2
metawrap_0_100_bins_D36_bin.34,2
metawrap_0_100_bins_D36_bin.35,2
metawrap_0_100_bins_D36_bin.42,2
metawrap_0_100_bins_D36_bin.45,2
metawrap_0_100_bins_D36_bin.47,1
metawrap_0_100_bins_D36_bin.49,1
metawrap_0_100_bins_D36_bin.62,2
metawrap_0_100_bins_D36_bin.68,1
metawrap_0_100_bins_D36_bin.71,2
metawrap_0_100_bins_D36_bin.76,1
metawrap_0_100_bins_D36_bin.82,1
metawrap_0_100_bins_D37_bin.31,1
metawrap_0_100_bins_D37_bin.4,1
metawrap_0_100_bins_D37_bin.40,1
metawrap_0_100_bins_D38_bin.10,19
metawrap_0_100_bins_D38_bin.11,10
metawrap_0_100_bins_D38_bin.18,4
metawrap_0_100_bins_G40_bin.22,1
metawrap_0_100_bins_G42_bin.19,7
metawrap_0_100_bins_G42_bin.26,3
metawrap_0_100_bins_G42_bin.28,1
metawrap_0_100_bins_G42_bin.34,1
metawrap_0_100_bins_G42_bin.40,1
metawrap_0_100_bins_G42_bin.43,2
metawrap_0_100_bins_G42_bin.53,1
metawrap_0_100_bins_G42_bin.60,2
metawrap_0_100_bins_G43_bin.104,1
metawrap_0_100_bins_G43_bin.108,2
metawrap_0_100_bins_G43_bin.112,1
metawrap_0_100_bins_G43_bin.117,4
metawrap_0_100_bins_G43_bin.16,1
metawrap_0_100_bins_G43_bin.19,1
metawrap_0_100_bins_G43_bin.2,2
metawrap_0_100_bins_G43_bin.21,1
metawrap_0_100_bins_G43_bin.23,1
metawrap_0_100_bins_G43_bin.26,2
metawrap_0_100_bins_G43_bin.31,2
metawrap_0_100_bins_G43_bin.35,7
metawrap_0_100_bins_G43_bin.40,1
metawrap_0_100_bins_G43_bin.44,4
metawrap_0_100_bins_G43_bin.54,3
metawrap_0_100_bins_G43_bin.65,2
metawrap_0_100_bins_G43_bin.67,1
metawrap_0_100_bins_G43_bin.72,1
metawrap_0_100_bins_G43_bin.81,2
metawrap_0_100_bins_G43_bin.9,4
metawrap_0_100_bins_G43_bin.96,1
metawrap_0_100_bins_G43_bin.99,1
metawrap_0_100_bins_G44_bin.16,1
metawrap_0_100_bins_G44_bin.20,5
metawrap_0_100_bins_G44_bin.3,18
metawrap_0_100_bins_G44_bin.30,3
metawrap_0_100_bins_G44_bin.37,1
metawrap_0_100_bins_G44_bin.46,3
metawrap_0_100_bins_F02_bin.14,1
metawrap_0_100_bins_F02_bin.2,2
metawrap_0_100_bins_F02_bin.20,1
metawrap_0_100_bins_F02_bin.21,1
metawrap_0_100_bins_F02_bin.38,1
metawrap_0_100_bins_F02_bin.46,1
metawrap_0_100_bins_F02_bin.71,1
metawrap_0_100_bins_F02_bin.72,9
metawrap_0_100_bins_F02_bin.76,1
metawrap_0_100_bins_F03_bin.12,4
metawrap_0_100_bins_F03_bin.2,1
metawrap_0_100_bins_F03_bin.40,2
metawrap_0_100_bins_F03_bin.43,1
metawrap_0_100_bins_F03_bin.74,2
metawrap_0_100_bins_F03_bin.82,3
metawrap_0_100_bins_F04_bin.10,4
metawrap_0_100_bins_F04_bin.33,1
metawrap_0_100_bins_F04_bin.63,21
metawrap_0_100_bins_F05_bin.10,1
metawrap_0_100_bins_F05_bin.11,1
metawrap_0_100_bins_F05_bin.25,1
metawrap_0_100_bins_F05_bin.28,1
metawrap_0_100_bins_F05_bin.31,3
metawrap_0_100_bins_F05_bin.32,1
metawrap_0_100_bins_F06_bin.26,1
metawrap_0_100_bins_F06_bin.27,2
metawrap_0_100_bins_F06_bin.29,2
metawrap_0_100_bins_F06_bin.40,1
metawrap_0_100_bins_F06_bin.59,3
metawrap_0_100_bins_F06_bin.78,1
metawrap_0_100_bins_F06_bin.84,1
metawrap_0_100_bins_F06_bin.86,1
metawrap_0_100_bins_F07_bin.31,1
